1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5d: Color For ,5e: Color Pattern For,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Herbaceous,Aquatic,Fresh Water,Very Rare,Medium Patch (12-120),Small (5-25cm),Creeper Vine & Multiple Stems / Trunks,Radial,Tap,Smooth,White,N/A,Smooth,Grey & Green,Iridescent,Waxy,Black,N/A,Blades,Terminal,Cuneate (Wedge Accute Base),Serrulate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Smooth,Green,N/A,Seeds & Seeds,Fruit,Water,Pairs,Cone,Avg. (1-5cm),Oval,Velvety,Stem / Trunk,Sweet,Other,Smooth,Brown,Translucent,1-3,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Infusion,Anodyne,Medicinal / Other,Fomentation,Glue,Edible,Dried,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Edible,Raw,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Large Patch (120+),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Smooth,White,N/A,Smooth,White,N/A,Smooth,Brown,N/A,Broad,Random Interval,Cuneate (Wedge Accute Base),Serate,Smooth,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Smooth,White,N/A,Budding / Fragmentation,Grain,Gravity,Bunches,Spike,Tiny (<5mm),Curly,Veined,Terminal,Sweet,Annual (Once),Waxy,Green,Patches & Blushed,10+,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Dried,N/A,Edible,Steeped,N/A,
Woody,Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Fibrous,Smooth,Green,N/A,Rough,Gold,N/A,Scaly,Silver,N/A,Compound,Random Interval,Acicular (Needle),Serrulate,Smooth,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Waxy,Green,N/A,Budding / Fragmentation,Fruit,Water,Compound,Spike,Avg. (1-5cm),Wavy,Waxy,Stem / Trunk,None,Other,Flaky,Brown,Mimicry,0,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Ground,N/A,Edible,Ground,N/A,Nutritious / Tasty,Boiled,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Rare,Large Patch (120+),Average (25cm-1m),Stem / Trunk,Radial,Tubers,Other,Brown,N/A,Scaly,Blue,N/A,Waxy,Brown,N/A,Compound,Terminal,Cuneate (Wedge Accute Base),Lobate,Sticky,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Smooth,Orange,N/A,Suckers,Fruit,Water,Compound,Disc,Avg. (1-5cm),Oval,Velvety,Terminal,Musky,Annual (Once),Smooth,Grey,Iridescent,1-3,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,Edible,Roasted,N/A,Edible,Raw,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Medicinal / Other,Wash,Hypnotic,
Herbaceous,Terrestrial,Plains / Savannah,Unique (Extremely Limited Area),Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Scaly,Orange,N/A,Waxy,Black,N/A,Smooth,Copper,N/A,Broad,Regular Interval,Obovate (Egg Narrow at Base),Serate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Scaly,Green,N/A,Budding / Fragmentation,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Medicinal / Other,Cold Extract,Wax,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Whole,Wax,Medicinal / Other,Fomentation,Hypnotic,
Woody,Terrestrial,Mountains,Rare,Solitary (1-2),Large (1-10m),Creeper Vine,Random,Advantageous,Flaky,Blue,N/A,Flaky,Green,N/A,Waxy,Green,N/A,Compound,Regular Interval,Rhomboid (Diamond),Smooth,Hairy & Re-Roll,Pinnate (Secondary Veins Paired Oppositely),Whorls (3-5),Smooth,Orange,N/A,Suckers,Nut,Gravity,Single,Disc,Small (5-10mm),Oval,Veined,Random Interval,Musky,Poly-Annual (2-7 Years),Scaly,Gold,Spotted,1-3,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Infusion,Antifungal,Medicinal / Other,Vapor / Smoke,Cholagouge,Nutritious / Tasty,Raw,N/A,
Herbaceous,Terrestrial,Hills / Scrub,Common,Small Patch (1-12),Average (25cm-1m),Creeper Vine,None,Tap,Waxy,Violet,N/A,Smooth,Gold,N/A,Other,Gold,N/A,Compound,Stem / Trunk,Pedate (Palmate Divided Latteral Lobes),Dentate,VelvetyDusty,Parallel (Veins Arranged Axially Not Intersecting),Singles (1),Smooth,Yellow,N/A,Seeds,Grain,Water,Other,Cone,Small (5-10mm),Curly,Scaly,Branch Points,Sweet,Perennial (Yearly),Waxy,Silver,Solid,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Poultice,Re-Roll,Medicinal / Other,Syrup,Astringent,
Herbaceous,Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Random,Bulb,Waxy,Yellow,N/A,Smooth,Yellow & Grey,Phases,Smooth,Black,N/A,Broad,Branch Points,Hastatae (Triangular Basal Lobes),Undulate,Waxy,Dichotomous (Veins Branching in Symmetric Pairs),Pairs (2),Waxy,Green,N/A,Budding / Fragmentation,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Poultice,Antiphlogistic,Edible,Roasted,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Very Common,Medium Patch (12-120),Small (5-25cm),Stem / Trunk,Radial,Fibrous,Smooth,Red,N/A,Rough,Green & Orange,Mottled,Smooth,Yellow,N/A,Broad,Branch Points,Lobed (Deeply Indented Margins),Serate,Scaly,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5),Smooth,Orange,N/A,Seeds,Grain,Wind,Compound,Spike,Small (5-10mm),Oval,Waxy,Random Interval,Foul,Perennial (Yearly),Smooth,Green,Phases,10+,5+,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,Edible,Raw,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Medicinal / Other,Juice,Emmenagogue,
Herbaceous,Aquatic,Fresh Water,Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Smooth,Yellow,N/A,Smooth,Grey,N/A,Smooth & Scaly,Gold,N/A,Broad,Random Interval,Spear-Shaped (Pointed Barbbed-Base),Serrulate,Waxy,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Other,Silver,N/A,Suckers,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Steeped,N/A,Edible,Steeped,N/A,
Fungus,Sub-Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Tiny (<5cm),Creeper Vine,Ordered,Advantageous,Smooth,Black,N/A,Smooth,Grey,N/A,Smooth,Grey,N/A,Blades,Terminal,Ovate (Egg Wide at Base),Lobate & Spiny,VelvetyDusty,Dichotomous (Veins Branching in Symmetric Pairs),Whorls (3-5),Rough,White,N/A,Seeds,Spore,Animal,Spray,Cone,Small (5-10mm),Thread,Waxy,Random Interval,Musky,Perennial (Yearly),Flaky,Black,Patches,0,1,Decay,Touch,Non-Sentient,N/A,Nutritious / Tasty,Boiled,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Non-Edible,N/A,N/A,
Woody,Terrestrial,Hills / Scrub,Uncommon,Large Patch (120+),Huge (>10m),Stem / Trunk,Random,Tap,Scaly,Green,N/A,Smooth,Violet,N/A,Waxy,Brown,N/A,Compound,Random Interval,Lanceolate (Pointed at Both Ends),Serrulate,VelvetyDusty,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Rough & Rough,Brown,N/A,Seeds,Fruit,Animal,Bunches,Spike,Small (5-10mm),Feathery,Hairy,Stem / Trunk,Foul,Annual (Once),Scaly,Silver,Solid,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Steeped,N/A,Nutritious / Tasty,Roasted,N/A,Medicinal / Other,Rubbed,Vermifuge,Medicinal / Other,Bath,Diuretic,
Woody,Sub-Terrestrial,Forest / Jungle,Common,Large Patch (120+),Average (25cm-1m),Stem / Trunk,Radial,Advantageous,Waxy,Black,N/A,Smooth,Green,N/A,Smooth,Silver,N/A,Broad,Terminal,Cuneate (Wedge Accute Base),Serrulate,Waxy & Scaly,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Smooth,Red,N/A,Seeds,Nut,Gravity,Pairs,Bell,Tiny (<5mm),Round,Smooth,Regular Interval,Foul,Other,Rough,White,Spotted,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Medicinal / Other,Juice,Aromatic,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,Medicinal / Other,Cold Compress,Re-Roll,
Herbaceous,Terrestrial,Marsh / Swamp / Bog,Very Rare,Small Patch (1-12),Tiny (<5cm),Stem / Trunk,None,Fibrous,Scaly,Green,N/A,Waxy,Blue,N/A,Smooth,Green,N/A,Scales,Branch Points,Lanceolate (Pointed at Both Ends),Dentate,Hairy,Dichotomous (Veins Branching in Symmetric Pairs),Singles (1),Smooth,Brown,N/A,Seeds,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Essence,Oxytocic,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Edible,Blanched,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Very Common,Solitary (1-2),Large (1-10m),Stem / Trunk,Random,Fibrous,Flaky,Gold,N/A,Scaly,Violet,N/A,Smooth,Gold,N/A,Compound,Branch Points,Rhomboid (Diamond),Ciliate,Hairy,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Scaly,Green,N/A,Seeds,Grain,Gravity,Spray,Cone,Large (5-10cm),Oval,Hairy,Terminal,Foul,Annual (Once),Waxy,Black,Blushed,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Raw,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ointment,Cathartic,Medicinal / Other,Powder,Depurative,Edible,Steeped,N/A,
Herbaceous,Terrestrial,Plains / Savannah,Very Common,Solitary (1-2),Large (1-10m),Multiple Stems / Trunks,Ordered,Fibrous,Waxy,Green,N/A,Waxy,Green,N/A,Smooth,Gold,N/A,Needles,Terminal,Lanceolate (Pointed at Both Ends),Lobate,VelvetyDusty,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Rough,Red,N/A,Suckers,Fruit,Animal,Pairs,Bell,Avg. (1-5cm),Oval,Smooth,Terminal,Sweet,Annual (Once),Other,Green,Solid,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Poultice,Refridgerant,Medicinal / Other,Rubbed,Stomachic,Edible,Boiled,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Edible,Steeped,N/A,
Woody,Terrestrial,Marsh / Swamp / Bog,Uncommon,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Rough,White,N/A,Scaly,Violet,N/A,Rough,White,N/A,Needles,Terminal,Palmate (Hand-Like),Lobate,VelvetyDusty,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Rough,Green,N/A,Seeds,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Ground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,Nutritious / Tasty,Raw,N/A,
Fungus,Avian,Plains / Savannah,Uncommon,Small Patch (1-12),Average (25cm-1m),Creeper Vine,None,Rhizoid,Other,Copper,N/A,Flaky,Grey,N/A,Other,Grey,N/A,Broad,Terminal,Spatulate (Spoon),Sinuate,VelvetyDusty,None,Singles (1),Smooth,Orange,N/A,Seeds,Other,Animal,Single,Sphere,Avg. (1-5cm),Thread,Smooth,Branch Points,Sweet,Perennial (Yearly),Smooth,Black,Translucent & Spotted,10+,1,Decay,Gravity,Non-Sentient,N/A,Edible,Roasted,N/A,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty & Non-Edible,N/A,N/A,Edible,Raw,N/A,
Herbaceous,Aquatic,Fresh Water,Common,Small Patch (1-12),Average (25cm-1m),Multiple Stems / Trunks,Random,Tap,Waxy,Green & Orange,Solid,Waxy,Violet,N/A,Smooth,Violet,N/A,Compound,Random Interval,Reniform (Kidney),Sinuate,Smooth & Smooth,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5),Smooth,Orange,N/A,Seeds,Fruit,Animal,Compound,Spike,Avg. (1-5cm),Round,Smooth,Regular Interval,Sweet,Annual (Once),Smooth,Green,Mimicry,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Nutritious / Tasty,Dried,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,Medicinal / Other,Powder,Vulnerary,Medicinal / Other,Bath,Diuretic,
Herbaceous,Aquatic,Fresh Water,Common,Medium Patch (12-120),Large (1-10m),Creeper Vine,Random,Rhizoid,Scaly,Green,N/A,Scaly,Grey,N/A,Smooth,Blue,N/A,Broad,Random Interval,Reniform (Kidney),Undulate,Sticky,Parallel (Veins Arranged Axially Not Intersecting),Clusters (6+),Waxy,Gold,N/A,Seeds,Spore,Animal,Bunches,Spike,Avg. (1-5cm),Curly,Sticky,Random Interval,Sweet,Other,Smooth,Violet,Phases,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Steeped,N/A,Edible,Dried,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Edible,Steeped,N/A,Medicinal / Other,Cold Extract,Sedative,
Herbaceous,Terrestrial,Plains / Savannah,Uncommon,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Radial,Rhizoid,Waxy,Grey,N/A,Rough,Green,N/A,Waxy,Gold,N/A,Compound,Terminal,Poly-Foliate (2-7 Leaflets),Ciliate,Hairy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Other,Green,N/A,Budding / Fragmentation,Grain,Animal,Pairs,Disc,Avg. (1-5cm),Feathery,Sticky,Random Interval,Sweet,Annual (Once),Waxy,Grey,Stripes,4-9,0,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Medicinal / Other,Decoction,Bitter Tonic,Medicinal / Other,Other,Antinauseant,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Compress,Emetic,Medicinal / Other,Bath,Cathartic,
Herbaceous,Terrestrial,Mountains & Plains / Savannah,Uncommon,Solitary (1-2),Average (25cm-1m),Creeper Vine,Random,Tap,Smooth,Gold,N/A,Scaly,Orange & Green,Solid,Smooth,Yellow,N/A,Compound,Regular Interval,Obcordate (Heart Stem at Point),Sinuate,Sticky,Palmate (Several Primary Veins Diverging from a Point),Pairs (2),Scaly,Green,N/A,Budding / Fragmentation,Fruit,Animal,Pairs,Bell,Avg. (1-5cm),Feathery,Smooth,Terminal,Musky,Annual (Once),Smooth,Silver,Mimicry,4-9,2-4,Photo / Chemo-Synthetic,Light,Sentient,Animal,Medicinal / Other,Powder,Antinauseant,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Medicinal / Other,Decoction,Stomachic,
Algae,Aquatic,Fresh Water,Common,Solitary (1-2),Tiny (<5cm),Multiple Stems / Trunks,Ordered,None,Smooth,Yellow,N/A,Scaly,Brown,N/A,Smooth & Smooth,Green,N/A,None,Terminal,Truncate (Squared off Apex),Undulate,Hairy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Waxy,Blue,N/A,Other,Spore,Wind,Bunches,Disc,Avg. (1-5cm),Blade,Smooth,Branch Points,Foul,Poly-Annual (2-7 Years),Rough,Green,Phases,4-9,2-4,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Steeped,N/A,Non-Edible,N/A,N/A,
Herbaceous,Sub-Terrestrial,Mountains,Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Random,Rhizoid,Other,Green,N/A,Waxy,Blue,N/A,Smooth,Copper,N/A,Broad,Terminal,Spatulate (Spoon),Dentate,Smooth,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Smooth,Green,N/A,Seeds,Fruit,Gravity,Pairs,Bell,Avg. (1-5cm),Round,Velvety,Stem / Trunk,Sweet,Perennial (Yearly),Smooth,Red,Patches,0,2-4,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Boiled,N/A,Edible,Steeped,N/A,N/A,N/A,N/A,Medicinal / Other,Infusion,Appetizer,Medicinal / Other,Decoction,Aperient,
Herbaceous,Terrestrial,Hills / Scrub,Uncommon,Medium Patch (12-120),Average (25cm-1m),Colonial Mass,None,Fibrous,Smooth,Green,N/A,Smooth,White,N/A,Other,Yellow,N/A,Broad,Stem / Trunk,Poly-Foliate (2-7 Leaflets),Sinuate,Scaly,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Smooth,Brown,N/A,Budding / Fragmentation,Grain,Gravity,Bunches,Disc,Huge (>10cm),Toothed,Smooth,Regular Interval,Sweet,Perennial (Yearly),Smooth,Green,Patches,10+,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Medicinal / Other,Tincture,Anticoagulant,Nutritious / Tasty,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Dried,N/A,Medicinal / Other,Bath,Alterative,
Herbaceous,Aquatic,Brackish,Very Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Random,Fibrous,Waxy,Gold,N/A,Other,Silver,N/A,Smooth,Brown,N/A,Broad,Stem / Trunk,Truncate (Squared off Apex),Sinuate,VelvetyDusty,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Smooth,Green,N/A,Seeds,Grain,Wind,Compound,Cone,Large (5-10cm),Toothed,Veined & Smooth,Random Interval,Sweet,Perennial (Yearly),Waxy,Silver & Green,Mimicry,10+,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Blanched,N/A,Medicinal / Other,Ointment,Re-Roll,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Medicinal / Other,Bath,Fungicide,
Herbaceous,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Small (5-25cm),Stem / Trunk,Radial,Bulb,Scaly,Violet,N/A,Smooth,Green,N/A,Smooth,Green,N/A,Broad,Random Interval,Acicular (Needle),Crenate,VelvetyDusty,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Smooth,Yellow,N/A,Seeds,Grain,Animal,Spray,Cone,Avg. (1-5cm),Curly,Dusty,Random Interval,Foul,Perennial (Yearly),Smooth,Green,Blushed,0,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ointment,Mysical / Other,Edible,Boiled,N/A,
Herbaceous,Terrestrial,Hills / Scrub,Rare,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Random,Fibrous,Smooth,Green,N/A,Smooth,Silver,N/A,Smooth,Green,N/A,Needles,Terminal,Linear (Parallel Margins & Elongate),Lobate,Hairy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Waxy,Copper,N/A,Seeds,Fruit,Water,Single,Funnel,Avg. (1-5cm),Toothed & Round,Velvety,Random Interval,Foul,Perennial (Yearly),Waxy,Violet,Night Blooming,10+,1,Parasitic,Gravity,Non-Sentient,N/A,Medicinal / Other,Poultice,Antipyretic,Medicinal / Other,Poultice,Calmative,Edible,Steeped,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Crushed,Carminative,
Herbaceous,Aquatic,Brackish,Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Smooth,Blue,N/A,Smooth,Yellow,N/A,Smooth,Gold,N/A,Compound,Terminal & Terminal,Linear (Parallel Margins & Elongate),Serate,Sticky,Pinnate (Secondary Veins Paired Oppositely),Singles (1),Waxy,Green,N/A,Suckers,Fruit,Animal,Pairs,Bell,Avg. (1-5cm),Curly,Smooth,Regular Interval,Sweet,Perennial (Yearly),Smooth,Yellow,Blushed,1-3,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Infusion,Vasodialator,Nutritious / Tasty,Roasted,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Medicinal / Other,Ground,Vulnerary,
Herbaceous,Terrestrial,Plains / Savannah,Rare,Solitary (1-2),Small (5-25cm),Multiple Stems / Trunks,Radial,Rhizoid,Smooth,Orange,N/A,Smooth,White,N/A,Waxy,Red,N/A,Broad,Terminal,Pedate (Palmate Divided Latteral Lobes),Sinuate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Silver,N/A,Seeds,Fruit,Animal,Other,Sphere,Tiny (<5mm),Toothed,Hairy,Regular Interval,Musky,Other,Waxy,Blue,Mimicry,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Decoction,Galactagogue,Edible,Dried,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Edible,Roasted,N/A,
Woody,Terrestrial,Hills / Scrub,Uncommon,Large Patch (120+),Large (1-10m),Creeper Vine,Random,Fibrous,Rough,Green,N/A,Rough,Orange,N/A,Rough,Green,N/A,Broad,Stem / Trunk,Rhomboid (Diamond),Smooth,Error: Roll Out of Range,Reticulate (Smaller Veins Forming a Network),Clusters (6+) & Clusters (6+),Smooth,White,N/A,Seeds,Fruit,Animal,Other,Disc,Avg. (1-5cm),Blade,Velvety,Regular Interval,Musky,Poly-Annual (2-7 Years),Scaly,Yellow,Blushed,4-9,1,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Roasted,N/A,Medicinal / Other,Poultice,Aperient,Nutritious / Tasty,Ground,N/A,Medicinal / Other,Fomentation,Refridgerant,Nutritious / Tasty,Dried,N/A,
Fungus,Terrestrial,Hills / Scrub,Uncommon,Solitary (1-2),Small (5-25cm),Stem / Trunk,None,Advantageous,Smooth,Black,N/A,Scaly,Green,N/A,Smooth,White,N/A,None,Terminal,Aristate (Spine-Like Tip),Serate & Serate,VelvetyDusty,Palmate (Several Primary Veins Diverging from a Point),Singles (1),Other,Green,N/A,Seeds,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,Touch,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Blanched,N/A,Edible,Steeped,N/A,
Algae,Sub-Terrestrial,Plains / Savannah,Uncommon,Medium Patch (12-120),Average (25cm-1m),Colonial Mass,Ordered,None,Smooth,Violet,N/A,Smooth,Blue,N/A,Smooth,Yellow,N/A,None & None,Random Interval,Cordate (Heart Stem in Cleft),Dentate,Hairy,None,Clusters (6+),Scaly,Gold,N/A,Budding / Fragmentation,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Symbiotic,None,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Ground,N/A,Non-Edible,N/A,N/A,
Algae,Avian,Forest / Jungle & Plains / Savannah,Very Common,Small Patch (1-12),Average (25cm-1m),Colonial Mass,Radial,Rhizoid,Scaly,Black,N/A,Smooth,White,N/A,Smooth,Orange,N/A,None,Random Interval,Poly-Foliate (2-7 Leaflets),Smooth,Scaly,Pinnate (Secondary Veins Paired Oppositely),Pairs (2),Smooth,Green,N/A,Budding / Fragmentation,Spore,Wind,Pairs,Bell,Avg. (1-5cm),Oval,Waxy,Regular Interval,Sweet,Perennial (Yearly),Smooth,Grey,Solid,4-9,5+,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,N/A,N/A,N/A,Medicinal / Other,Ground,Caustic,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Powder,Antiphlogistic,
