1: Main Flora Type,1: Main Flora Type,2a: Aquatic Sub-Habitat or 2b: Other Sub-Habitat,2c: Rarity,3: Grouping,4: Size,5: Main Body,5a: Branches,5b: Roots,5c: Surface For Main Body,5d: Color For  Main Body,5e: Color Pattern For Main Body,5c: Surface For Branches,5d: Color For  Branches,5e: Color Pattern For Branches,5c: Surface For Roots,5d: Color For  Roots,5e: Color Pattern For Roots,6: Leaves,6a: Leaf Location,6b: Leaf Shape,6c: Leaf Margin,6c: Leaf Surface,6d: Leaf Venation,6e: Leaf Numbers,5c: Surface For Leaves,5d: Color For  Leaves,5e: Color Pattern For Leaves,7: Reproduction,7a: Seeds,7b: Primary Dispersal,7c: Flower Type,7d: Flower Shape,7e: Flower Size,7f: Pedal Shape,7g: Pedal Surface,7h: Flower Location,7i: Flower Scent,7j: Flower Frequency,5c: Surface For Flowers,5d: Color For  Flowers,7k: Flower Pattern,7l: Stamens,7m: Pistils,8: Diet,8a: Tropism,9: Sentience,9a: Sentience Type,10: Edibility For Leaves,10a: Edible Preparation For Leaves or 10c: Medicinal Preparation For Leaves,10b: Medicinal Properties For Leaves,10: Edibility For Flowers,10a: Edible Preparation For Flowers or 10c: Medicinal Preparation For Flowers,10b: Medicinal Properties For Flowers,10: Edibility For Fruit,10a: Edible Preparation For Fruit or 10c: Medicinal Preparation For Fruit,10b: Medicinal Properties For Fruit,10: Edibility For Bark,10a: Edible Preparation For Bark or 10c: Medicinal Preparation For Bark,10b: Medicinal Properties For Bark,10: Edibility For Stems,10a: Edible Preparation For Stems or 10c: Medicinal Preparation For Stems,10b: Medicinal Properties For Stems,10: Edibility For Roots,10a: Edible Preparation For Roots or 10c: Medicinal Preparation For Roots,10b: Medicinal Properties For Roots,
Herbaceous,Terrestrial,Forest / Jungle,Rare,Small Patch (1-12),Huge (>10m),Creeper Vine,Radial,Tap,Smooth,Violet,N/A,Smooth,Green,N/A,Waxy,Copper,N/A,Scales,Stem / Trunk,Obtuse (Bluntly Tipped),Undulate,Sticky,Parallel (Veins Arranged Axially Not Intersecting),Whorls (3-5),Waxy,Black,N/A,Seeds,Fruit,Gravity,Pairs,Funnel,Avg. (1-5cm),Blade,Veined,Terminal,Sweet,Perennial (Yearly),Smooth,Red,Solid,1-3,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Medicinal / Other,Juice,Vasodialator,Edible,Boiled,N/A,Medicinal / Other,Infusion,Colorant,Nutritious / Tasty,Raw,N/A,Edible,Steeped,N/A,
Herbaceous,Sub-Terrestrial,Plains / Savannah,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Tap,Other,Black,N/A,Smooth,White,N/A,Waxy,Grey,N/A,Blades,Branch Points,Spear-Shaped (Pointed Barbbed-Base),Serrulate,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Pairs (2),Rough,Grey,N/A,Seeds,Grain,Water,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Decay,Gravity & Gravity,Non-Sentient,N/A,Edible,Ground,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Ground,N/A,Nutritious / Tasty,Raw,N/A,
Woody,Terrestrial,Forest / Jungle,Uncommon,Medium Patch (12-120),Small (5-25cm),Multiple Stems / Trunks,Radial,Tap,Smooth,Blue,N/A,Scaly,Green,N/A,Scaly,Yellow,N/A,Broad,Terminal,Acicular (Needle),Lobate,Waxy,Reticulate (Smaller Veins Forming a Network),Singles (1),Flaky,Brown,N/A,Budding / Fragmentation,Fruit,Animal,Other,Funnel,Small (5-10mm),Wavy & Thread,Smooth,Branch Points,Sweet,Poly-Annual (2-7 Years),Smooth,Green & Green,Solid,0,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Powder,Digestive,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Edible,Steeped,N/A,Medicinal / Other,Whole,Hallucinogen,
Herbaceous,Terrestrial,Forest / Jungle,Uncommon,Small Patch (1-12),Average (25cm-1m),Creeper Vine,Radial,Bulb,Smooth,Violet,N/A,Smooth,Yellow,N/A,Waxy,Silver,N/A,Broad,Regular Interval,Cuneate (Wedge Accute Base),Denticulate,Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Waxy,Green,N/A,Seeds,Fruit,Water,Single,Funnel,Small (5-10mm),Wavy,Velvety,Random Interval,Sweet,Perennial (Yearly),Smooth,Orange & Orange,Blushed,10+,2-4,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,Medicinal / Other,Grated,Vermifuge,Nutritious / Tasty,Steeped,N/A,
Herbaceous,Terrestrial,Tundra & Forest / Jungle,Uncommon,Medium Patch (12-120),Large (1-10m),Stem / Trunk,Radial,Rhizoid,Smooth,Violet,N/A,Smooth,Yellow,N/A,Smooth,Green,N/A,Compound,Terminal,Reniform (Kidney),Smooth,Scaly,Cross-Venulate (Small Veins Connecting Secondary Veins),Clusters (6+),Smooth,Green,N/A,Seeds,Grain,Gravity,Spray,Funnel,Avg. (1-5cm),Toothed,Hairy,Regular Interval,Musky,Perennial (Yearly),Rough,Copper,Stripes,4-9,5+,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Nutritious / Tasty,Roasted,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Cold Compress,Carminative,Medicinal / Other,Infusion,Digestive,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Salt Water,Rare,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Radial,Tubers,Smooth,Black,N/A,Smooth,Green,N/A,Smooth,Yellow,N/A,Broad,Branch Points,Ovate (Egg Wide at Base),Serate,Waxy,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Smooth,Green,N/A,Seeds,Grain,Gravity,Single,Spike,Avg. (1-5cm),Curly,Velvety,Random Interval,Foul,Annual (Once),Smooth,Green,Solid,4-9,5+,Photo / Chemo-Synthetic,None,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Medicinal / Other,Poultice,Bitter Tonic,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Poultice,Counterirritant,
Herbaceous,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Average (25cm-1m),Stem / Trunk,Random,Tubers,Smooth,Green,N/A,Smooth,Red,N/A,Rough,Green,N/A,Broad,Terminal,Hastatae (Triangular Basal Lobes),Serate,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Pairs (2),Waxy,Brown,N/A,Seeds,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Boiled,N/A,Non-Edible,N/A,N/A,
Algae,Aquatic,Brackish,Unique (Extremely Limited Area),Solitary (1-2),Large (1-10m),Stem / Trunk,Random,None,Smooth,Green,N/A,Other,Green,N/A,Smooth,Green,N/A,None,Stem / Trunk,Linear (Parallel Margins & Elongate),Dentate,VelvetyDusty,Cross-Venulate (Small Veins Connecting Secondary Veins),Whorls (3-5),Smooth,Green,N/A,Budding / Fragmentation,Spore,Animal,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Wash,Antispasmodic,Non-Edible,N/A,N/A,
Fungus,Terrestrial,Forest / Jungle,Uncommon,Solitary (1-2),Tiny (<5cm),Colonial Mass,None,Rhizoid,Flaky,Gold,N/A,Rough,Gold,N/A,Smooth,Green,N/A,Broad,Terminal,Obovate (Egg Narrow at Base),Dentate,Scaly & Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1),Other,Yellow,N/A,Seeds,Spore,Animal,Other,Disc,Small (5-10mm),Toothed,Sticky,Regular Interval,Sweet,Annual (Once),Smooth,Red,Patches,10+,5+,Decay,Gravity,Non-Sentient,N/A,Non-Edible,N/A,N/A,Edible,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Dried,N/A,
Algae,Aquatic,Fresh Water,Common,Small Patch (1-12),Tiny (<5cm),Colonial Mass,Random,None,Other,Yellow,N/A,Scaly,Green,N/A,Smooth,Yellow,N/A,None,Regular Interval,Spear-Shaped (Pointed Barbbed-Base),Spiny,Sticky,Reticulate (Smaller Veins Forming a Network) & Palmate (Several Primary Veins Diverging from a Point),Singles (1),Smooth,Yellow,N/A,Budding / Fragmentation,Spore,Wind,Other,Complex,Avg. (1-5cm),Oval,Velvety,Terminal,Sweet,Annual (Once),Smooth,Green,Blushed,0,2-4,Photo / Chemo-Synthetic,Mobile,Non-Sentient,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Fresh Water,Very Rare,Solitary (1-2),Small (5-25cm),Colonial Mass,Random,Tubers,Other,Green,N/A,Smooth,Green,N/A,Smooth,Green,N/A,Needles,Random Interval,Obcordate (Heart Stem at Point),Smooth,VelvetyDusty,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Smooth,Grey,N/A,Seeds,Fruit,Animal,Other,Sphere,Avg. (1-5cm),Thread,Dusty,Terminal,Sweet,Annual (Once),Smooth,Green,Night Blooming,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Whole,Laxative,Medicinal / Other,Infusion,Hallucinogen,Medicinal / Other,Crushed,Hypnotic,N/A,N/A,N/A,Medicinal / Other,Decoction,Aromatic,Nutritious / Tasty,Dried,N/A,
Herbaceous,Aquatic,Salt Water,Common,Large Patch (120+),Average (25cm-1m),Creeper Vine,Radial,Fibrous,Smooth,Green,N/A,Smooth & Waxy,Green,N/A,Smooth,Gold & Green,Phases,Broad,Regular Interval,Deltoid (Triangular),Sinuate,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Whorls (3-5),Waxy,Green,N/A,Seeds,Grain,Animal,Spray,Cone,Huge (>10cm),Round,Hairy,Terminal & Regular Interval,Sweet,Other,Smooth,Violet,Spotted,10+,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Medicinal / Other,Bath,Antiemetic,Edible,Blanched,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Vapor / Smoke,Nephretic,Medicinal / Other,Ointment,Purgative,
Fungus,Terrestrial,Mountains,Uncommon,Solitary (1-2),Tiny (<5cm),Multiple Stems / Trunks,None,Rhizoid,Smooth,Brown & Brown,Solid,Smooth,Green,N/A,Other,Red,N/A,None,Terminal,Truncate (Squared off Apex),Denticulate,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Scaly,Green & White,Stripes,Seeds,Spore,Animal,Spray,Bell,Avg. (1-5cm),Round,Waxy,Branch Points,Sweet,Perennial (Yearly),Scaly,Yellow,Blushed,1-3,0,Decay,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Edible,Steeped,N/A,
Herbaceous,Aquatic,Salt Water,Very Common,Solitary (1-2),Huge (>10m),Stem / Trunk,Radial,Rhizoid,Smooth,Green,N/A,Smooth,Red,N/A,Smooth,Green,N/A,Needles,Branch Points,Falcate (Sickle),Serate,Smooth,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1),Waxy,Yellow,N/A,Suckers,Grain,Other,Spray,Bell,Tiny (<5mm),Round,Velvety,Regular Interval,Musky,Perennial (Yearly),Smooth,Brown,Solid,10+,0,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Fomentation,Balsam,Medicinal / Other,Decoction,Depressant,N/A,N/A,N/A,Nutritious / Tasty,Blanched,N/A,Edible,Ground,N/A,Nutritious / Tasty,Raw,N/A,
Herbaceous,Aquatic,Salt Water,Very Common,Medium Patch (12-120),Huge (>10m),Multiple Stems / Trunks,Random,Tap,Smooth,Copper,N/A,Rough,Grey,N/A,Smooth,Grey,N/A,Compound,Branch Points,Spatulate (Spoon),Dentate,VelvetyDusty,Palmate (Several Primary Veins Diverging from a Point),Whorls (3-5) & Clusters (6+),Flaky,Blue,N/A,Seeds & Suckers,Other,Wind,Pairs,Disc,Large (5-10cm),Toothed,Hairy,Branch Points,Musky,Perennial (Yearly),Waxy,Red,Solid,0,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Dried,N/A,Medicinal / Other,Re-Roll,Mysical / Other,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Crushed,Emetic,Edible,Steeped,N/A,
Woody,Terrestrial,Plains / Savannah,Very Common,Medium Patch (12-120),Average (25cm-1m),Stem / Trunk,Radial,Fibrous,Waxy,Brown,N/A,Scaly,White,N/A,Waxy,Brown,N/A,Compound,Terminal,Obovate (Egg Narrow at Base),Ciliate,Smooth & VelvetyDusty,Arcute (Secondary Veins Bending Towards Apex),Pairs (2),Scaly,Brown,N/A,Seeds,Nut,Animal,Single,Funnel,Avg. (1-5cm),Oval,Veined,Terminal,Sweet,Perennial (Yearly),Smooth,Copper,Solid,4-9,1,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Roasted,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Non-Edible,N/A,N/A,Edible,Boiled,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,None,Waxy,Yellow,N/A,Smooth,Gold,N/A,Smooth,Green,N/A,Compound,Branch Points,Spear-Shaped (Pointed Barbbed-Base),Smooth,Scaly,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Clusters (6+),Smooth,Grey & Brown,Solid,Seeds,Grain,Animal,Compound,Funnel,Small (5-10mm),Round,Smooth,Terminal,Foul,Other,Smooth,Copper,Spotted,10+,5+,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Edible,Raw,N/A,Edible,Dried,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Roasted,N/A,Nutritious / Tasty,Raw,N/A,
Herbaceous,Aquatic,Salt Water,Common,Large Patch (120+),Average (25cm-1m),Stem / Trunk,Radial,Tap,Scaly,Brown,N/A,Smooth,Black,N/A,Waxy,Violet,N/A,Broad,Terminal,Acuminate (Taper to Long Point),Undulate,Scaly,Arcute (Secondary Veins Bending Towards Apex),Whorls (3-5),Smooth,Brown,N/A,Seeds,Fruit,Wind,Bunches,Cone,Small (5-10mm),Wavy,Veined,Regular Interval,Sweet,Perennial (Yearly),Smooth,Orange,Stripes,4-9,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Boiled,N/A,Medicinal / Other,Ointment,Specific,Edible,Boiled,N/A,N/A,N/A,N/A,Medicinal / Other,Vapor / Smoke,Vulnerary,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Salt Water,Common,Solitary (1-2),Small (5-25cm),Creeper Vine & Stem / Trunk,Random,Fibrous,Scaly,Orange,N/A,Smooth,White,N/A,Smooth,Red,N/A,Compound,Random Interval,Deltoid (Triangular),Smooth,Scaly,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Scaly,Green,N/A,Seeds,Fruit,Water,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Cold Extract,Demulcent,N/A,N/A,N/A,Edible,Raw,N/A,N/A,N/A,N/A,Nutritious / Tasty,Raw,N/A,Medicinal / Other,Fomentation,Demulcent,
Herbaceous,Terrestrial,Desert / Waste,Uncommon,Solitary (1-2),Small (5-25cm),Creeper Vine,Ordered,Fibrous,Waxy,Blue,N/A,Smooth,Black,N/A,Smooth,Green,N/A,Broad,Terminal,Pinnatisect (Deep Opposite Lobing),Dentate,Scaly & Hairy,Arcute (Secondary Veins Bending Towards Apex),Clusters (6+),Smooth,Yellow,N/A,Seeds,Grain,Gravity,Bunches,Cone,Small (5-10mm),Blade & Curly,Velvety,Random Interval,Sweet,Annual (Once),Waxy,Red,Iridescent,4-9,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Dried,N/A,Edible,Boiled,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ground,Acrid,Medicinal / Other,Cold Extract,Mucilaginous,
Herbaceous,Sub-Terrestrial,Plains / Savannah,Very Common,Small Patch (1-12),Small (5-25cm),Stem / Trunk,Random,Tap,Smooth,Copper,N/A,Smooth,Green,N/A,Smooth,Gold,N/A,Broad,Regular Interval,Subulate (Awl),Serrulate,Re-Roll & Hairy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1),Scaly,Brown,N/A,Seeds,Nut,Animal,Single,Funnel,Avg. (1-5cm),Curly,Sticky,Terminal,Musky,Perennial (Yearly),Smooth,Silver,Mimicry,4-9,2-4,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,Medicinal / Other,Cold Extract,Febrifuge,Medicinal / Other,Infusion,Analgesic,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Dried,N/A,Edible,Dried,N/A,
Herbaceous,Terrestrial,Marsh / Swamp / Bog & Tundra,Uncommon,Medium Patch (12-120),Huge (>10m),Multiple Stems / Trunks,Random,Tap,Smooth,Orange,N/A,Smooth,Copper,N/A,Smooth,Blue,N/A,Broad,Terminal,Spear-Shaped (Pointed Barbbed-Base),Serate,Sticky,Reticulate (Smaller Veins Forming a Network),Clusters (6+),Smooth,Green,N/A,Budding / Fragmentation,Grain,Wind,Other,Spike,Avg. (1-5cm),Oval,Velvety,Terminal,Foul,Other,Smooth,Copper,Mimicry,10+,2-4,Photo / Chemo-Synthetic,Touch,Non-Sentient,N/A,Edible,Boiled,N/A,Medicinal / Other,Tincture,Euphoriant,N/A,N/A,N/A,Medicinal / Other,Poultice,Vulnerary,Medicinal / Other,Ointment,Diaphoretic,Nutritious / Tasty,Raw,N/A,
Woody,Terrestrial,Mountains,Common,Large Patch (120+),Huge (>10m),Stem / Trunk,Ordered,Bulb,Rough,Yellow,N/A,Waxy,Green,N/A,Rough,Red,N/A,Broad,Branch Points,Lobed (Deeply Indented Margins),Smooth,Waxy,Palmate (Several Primary Veins Diverging from a Point),Clusters (6+),Waxy,Silver & Violet,Patches,Seeds,Nut,Gravity,Pairs,Bell,Avg. (1-5cm),Round,Sticky,Regular Interval,Sweet,Perennial (Yearly),Rough,Black,Translucent,1-3,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Ground,N/A,Medicinal / Other,Tincture,Vasodialator,N/A,N/A,N/A,Medicinal / Other,Powder,Aperient,Medicinal / Other,Powder,Anaphrodisiac,Non-Edible,N/A,N/A,
Woody,Terrestrial,Hills / Scrub,Common,Small Patch (1-12),Small (5-25cm),Stem / Trunk,Random,Tubers,Rough,Silver,N/A,Scaly,Red,N/A,Rough,Blue,N/A,Broad,Stem / Trunk,Linear (Parallel Margins & Elongate),Serate & Ciliate,VelvetyDusty,Arcute (Secondary Veins Bending Towards Apex),Singles (1),Rough,White,N/A,Suckers,Nut,Gravity,Spray,Bell,Avg. (1-5cm),Blade,Smooth,Stem / Trunk,Sweet,Perennial (Yearly),Waxy,Gold,Night Blooming,1-3,5+,Photo / Chemo-Synthetic,Heat,Non-Sentient,N/A,Nutritious / Tasty,Roasted,N/A,Edible,Blanched,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Fomentation,Anaphrodisiac,Edible,Boiled,N/A,
Woody,Terrestrial,Forest / Jungle,Very Common,Small Patch (1-12),Small (5-25cm),Stem / Trunk,Radial,Fibrous,Smooth,Yellow,N/A,Flaky,Gold,N/A,Scaly,Green,N/A,Compound,Random Interval,Lanceolate (Pointed at Both Ends),Smooth,Sticky,None,Clusters (6+),Rough,Brown,N/A,Seeds,Nut,Gravity,Bunches,Complex,Small (5-10mm),Oval,Smooth,Random Interval,Sweet,Poly-Annual (2-7 Years),Smooth,Yellow & Brown,Solid,10+,1,Decay,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Steeped,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Dried,N/A,Non-Edible,N/A,N/A,
Herbaceous,Terrestrial,Forest / Jungle,Common,Solitary (1-2),Average (25cm-1m),Stem / Trunk,Radial,Tubers,Smooth,Green,N/A,Smooth,Orange,N/A,Smooth,Green,N/A,Compound,Branch Points,Palmate (Hand-Like),Denticulate,Waxy,Longitudinal (Veins Mostly Aligned Along Axis of Leaf),Singles (1),Smooth,Brown,N/A,Seeds,Other,Wind,Compound,Bell,Large (5-10cm),Blade,Sticky,Branch Points,Musky,Other,Smooth,Brown,Translucent,10+,2-4,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Nutritious / Tasty,Raw,N/A,Nutritious / Tasty,Steeped,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ground,Demulcent,Edible,Roasted,N/A,
Fungus,Terrestrial,Plains / Savannah & Forest / Jungle,Rare,Solitary (1-2),Tiny (<5cm),Multiple Stems / Trunks,None,Rhizoid,Rough,Yellow,N/A,Smooth,Green,N/A,Flaky,Green,N/A,Blades,Terminal,Acuminate (Taper to Long Point),Undulate,Waxy,Reticulate (Smaller Veins Forming a Network),Whorls (3-5),Flaky,Green,N/A,Seeds,Spore,Animal,Pairs,Funnel,Avg. (1-5cm),Oval,Velvety,Branch Points,None,Perennial (Yearly),Flaky,White,Iridescent,1-3,0,Parasitic,Heat,Non-Sentient,N/A,Nutritious / Tasty,Steeped,N/A,Edible,Raw,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Ground,N/A,Medicinal / Other,Poultice,Colorant,
Herbaceous,Aquatic,Salt Water,Common,Medium Patch (12-120),Average (25cm-1m),Creeper Vine,Ordered,Fibrous,Smooth,White,N/A,Waxy,Grey,N/A,Smooth,Orange,N/A,Broad,Random Interval,Spear-Shaped (Pointed Barbbed-Base),Serrulate,Smooth,Arcute (Secondary Veins Bending Towards Apex),Whorls (3-5),Waxy,Brown,N/A,Seeds,Fruit,Animal,Single,Bell,Small (5-10mm),Round,Hairy,Terminal,Musky,Poly-Annual (2-7 Years),Smooth,Grey,Translucent,0,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Steeped,N/A,Edible,Roasted,N/A,Medicinal / Other,Infusion,Alterative,N/A,N/A,N/A,Medicinal / Other,Bath,Anaphrodisiac,Non-Edible,N/A,N/A,
Woody,Terrestrial,Forest / Jungle,Uncommon,Small Patch (1-12),Small (5-25cm),Stem / Trunk,Random,Rhizoid,Smooth,Black,N/A,Rough,Brown,N/A,Smooth,Orange,N/A,Broad,Terminal,Rhomboid (Diamond),Spiny,Waxy,Parallel (Veins Arranged Axially Not Intersecting),Singles (1),Rough,Silver,N/A,Seeds,Fruit,Animal,Single,Bell,Avg. (1-5cm),Curly,Sticky,Terminal,Sweet,Perennial (Yearly),Scaly,Copper,Luminescent,4-9,5+,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Dried,N/A,Medicinal / Other,Fomentation,Hydragogue,Non-Edible,N/A,N/A,N/A,N/A,N/A,Nutritious / Tasty,Boiled,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Medium Patch (12-120),Huge (>10m),Stem / Trunk,Radial,Rhizoid,Smooth,Violet & Violet,Patches,Smooth,Green,N/A,Smooth,Gold,N/A,Compound,Terminal,Spear-Shaped (Pointed Barbbed-Base),Lobate,Waxy,Cross-Venulate (Small Veins Connecting Secondary Veins),Pairs (2),Waxy,Green,N/A,Seeds,Nut,Gravity,Compound,Disc,Avg. (1-5cm),Oval,Smooth,Stem / Trunk,None,Other,Smooth,Orange,Night Blooming,4-9,0,Predaceous,Gravity,Non-Sentient,N/A,Medicinal / Other,Powder,Vermicide,Edible,Dried,N/A,N/A,N/A,N/A,Non-Edible,N/A,N/A,Medicinal / Other,Fomentation,Narcotic,Nutritious / Tasty,Boiled,N/A,
Fungus,Terrestrial,Mountains,Common,Small Patch (1-12),Tiny (<5cm),Multiple Stems / Trunks,None,Rhizoid,Scaly,Orange,N/A,Smooth,Green,N/A,Waxy,Yellow,N/A,Scales,Terminal,Flabellate (Fan Shaped),Sinuate & Dentate,Smooth,Dichotomous (Veins Branching in Symmetric Pairs),Clusters (6+),Smooth,Green,N/A,Seeds,Spore,Animal,Spray,Cone,Avg. (1-5cm),Wavy,Scaly,Stem / Trunk,Sweet,Annual (Once),Smooth,Yellow,Solid,10+,2-4,Decay,Gravity,Non-Sentient,N/A,Nutritious / Tasty,Blanched,N/A,Non-Edible,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Roasted,N/A,Nutritious / Tasty,Raw,N/A,
Algae,Terrestrial,Plains / Savannah,Common,Small Patch (1-12),Average (25cm-1m),Colonial Mass,Radial,None,Smooth,Green,N/A,Smooth,Green,N/A,Smooth,Violet,N/A,Scales & None,Random Interval,Truncate (Squared off Apex),Smooth,Hairy,None,Clusters (6+),Scaly,White,N/A,Budding / Fragmentation,Spore,Wind,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Photo / Chemo-Synthetic,Gravity,Non-Sentient,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Raw,N/A,Non-Edible,N/A,N/A,
Herbaceous,Aquatic,Fresh Water,Common,Medium Patch (12-120),Average (25cm-1m),Multiple Stems / Trunks,Radial,Rhizoid,Waxy,Blue,N/A,Waxy,Green,N/A,Smooth,Red,N/A,Needles,Terminal,Pedate (Palmate Divided Latteral Lobes),Serate,Waxy,Cross-Venulate (Small Veins Connecting Secondary Veins),Pairs (2),Smooth,Black,N/A,Seeds,Nut,Animal,Single,Funnel,Avg. (1-5cm),Round,Waxy,Terminal,Sweet,Perennial (Yearly),Waxy,Gold,Mimicry & Mottled,1-3,0,Photo / Chemo-Synthetic,Light,Non-Sentient,N/A,Edible,Raw,N/A,Edible,Roasted,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Medicinal / Other,Ointment,Bitter Tonic,Edible,Steeped,N/A,
Herbaceous,Aquatic,Fresh Water,Uncommon,Large Patch (120+),Average (25cm-1m),Multiple Stems / Trunks,None,Tubers,Smooth,Red,N/A,Smooth,Green,N/A,Smooth,Orange,N/A,Blades,Regular Interval,Cuneate (Wedge Accute Base),Smooth,Smooth,None,Singles (1),Smooth,Grey,N/A,Seeds,Grain,Animal,Compound,Spike,Small (5-10mm),Curly,Velvety,Terminal,Sweet,Other,Smooth,Blue,Blushed,10+,5+,Photo / Chemo-Synthetic,Mobile,Non-Sentient,N/A,Medicinal / Other,Ground,Hepatic,Medicinal / Other,Syrup,Re-Roll,N/A,N/A,N/A,N/A,N/A,N/A,Edible,Blanched,N/A,Edible,Boiled,N/A,
